Species name Abbr,Species name expanded,Toda name
ageade,Ageratina adenophora,Sarman thur
ari,Arisaema sp.,Bobe thur
celphi,Celtis philippensis,NA
celtet,Celtis tetrandra,Kadalai
cesaur,Cestrum aurantiacum,NA
dapnei,Daphniphyllum neilgherrense,Kavas
dodvis,Dodonaea viscosa,Virali
glonei,Glochidion neilgherrense,Kobuvu
ileden,Ilex denticulata,Kheel
isowig,Isodon wightii,Mailanji thur
ixonot,Ixora notoniana,Korvu
lapbul,Laportea bulbifera,Torie
ligper,Ligustrum perrottetii,Koli
litwig,Litsea wightiana,Kage
maeind,Maesa indica,Thanugu
magnil,Magnolia nilagirica,Morsh magao
mellun,Melicope lunu-ankenda,Koregu
melsim,Meliosma simplicifolia,Thudai
memumb,Memecylon umbellatum,Pongon
micram,Microtropis ramiflora,Kodub
NA,NA,Kabodi thur
NA,NA,Korai
NA,NA,Natia
NA,NA,Thadu
NA,NA,Theer
NA,NA,Bilmek
NA,NA,Kark
neoscr,Neolitsea scrobiculata,Mine
notnim,Nothapodytes nimmoniana,Kokudh
phoser,Photinia serratifolia,Karvish
psybis,Psychotria bisulcata,Kishkir
psytru,Psychotria truncata,Mesthini
rapcap,Rapanea capitellata,Kodiki
rauver,Rauvolfia verticillata,Posh
rhotom,Rhodomyrtus tomentosa,Thavuttu pazham
Rubacea,Rubacea species,NA
rubell,Rubus elliptica,NA
scocre,Scolopia crenata,Pestheri
smiasp,Smilax aspera,NA
stacoc,Staphylea cochinchinensis,Neeran
symcoc,Symplocos cochinchinensis,Boothakani
syzcum,Syzygium cumini,Naval
syzden,Syzygium densiflorum,Kersh
tarasi,Tarenna asiatica,Kishkir-2
tetdio,Tetrapilus dioicus ,Kuthavu
todasi,Toddalia asiatica,Kaatu orange
vacles,Vaccium leschenaultii,Oduthin
verarb,Vernonia arborea,Garugu
stevol,Stephanotis volubilis,Vattakaka
pip,Piper sp.,Pepper kodi
fer,Fern sp.,Thagai
NA,NA,Povet